Timestamp,Humidity (%),Temperature (°C),Light (lux),Soil Moisture (%)
18:06:21,52.0,24.5,86.67,31.0
18:06:23,52.0,24.5,87.5,31.0
18:06:25,52.0,24.5,86.67,31.0
18:06:27,52.0,24.6,87.5,31.0
18:06:29,51.9,24.5,87.5,31.0
18:06:31,52.0,24.5,87.5,31.0
18:06:33,51.9,24.5,86.67,31.0
18:06:35,52.0,24.5,86.67,31.0
18:06:37,52.0,24.5,87.5,31.0
18:06:40,52.0,24.6,87.5,31.0
18:06:42,52.0,24.6,85.83,31.0
18:06:44,52.0,24.6,85.83,31.0
18:06:46,52.1,24.6,87.5,31.0
18:06:48,52.1,24.6,85.83,31.0
18:06:50,52.1,24.6,85.83,31.0
18:06:52,52.1,24.6,86.67,31.0
18:06:54,52.1,24.7,85.83,31.0
18:06:56,52.1,24.7,85.83,31.0
18:06:58,52.1,24.7,86.67,31.0
18:07:00,52.0,24.7,87.5,31.0
18:07:02,52.0,24.7,87.5,31.0
18:07:04,51.9,24.7,88.33,31.0
18:07:06,51.9,24.8,87.5,31.0
18:07:08,51.9,24.8,86.67,31.0
18:07:10,51.9,24.8,86.67,31.0
18:07:12,51.8,24.8,85.83,31.0
18:07:14,51.8,24.8,86.67,31.0
18:07:16,51.8,24.8,86.67,31.0
18:07:18,52.5,24.8,88.33,31.0
18:07:20,52.2,24.8,88.33,31.0
18:07:22,52.1,24.8,88.33,31.0
18:07:24,52.0,24.8,87.5,31.0
18:07:26,51.9,24.8,85.83,31.0
18:07:28,51.9,24.8,86.67,31.0
18:07:30,51.9,24.8,86.67,31.0
18:07:32,51.9,24.8,87.5,31.0
18:07:34,51.9,24.8,85.83,31.0
18:07:36,51.9,24.8,86.67,31.0
18:07:38,51.9,24.8,85.83,31.0
18:07:40,51.8,24.8,87.5,31.0
18:07:42,51.8,24.8,86.67,31.0
18:07:44,51.8,24.9,86.67,31.0
18:07:46,51.8,24.8,87.5,31.0
18:07:48,51.8,24.9,86.67,31.0
18:07:50,51.7,24.8,87.5,31.0
18:07:52,51.7,24.8,86.67,31.0
18:07:54,51.7,24.9,86.67,31.0
18:07:56,51.7,24.9,86.67,31.0
18:07:58,51.7,24.9,87.5,31.0
18:08:00,51.7,24.9,87.5,31.0
18:08:02,51.7,24.8,85.83,31.0
18:08:04,51.7,24.8,86.67,31.0
18:08:06,51.7,24.8,85.83,31.0
18:08:08,51.6,24.9,87.5,31.0
18:08:10,51.6,24.9,86.67,31.0
18:08:12,51.6,24.8,86.67,31.0
18:08:14,51.6,24.9,85.83,31.0
18:08:16,51.6,24.9,86.67,31.0
18:08:18,51.7,24.8,87.5,31.0
18:08:20,51.7,24.9,86.67,31.0
18:08:22,51.6,24.8,87.5,31.0
18:08:24,51.7,24.8,85.83,31.0
18:08:26,51.6,24.9,85.83,31.0
18:08:28,51.6,24.8,87.5,31.0
18:08:30,51.6,24.8,86.67,31.0
18:08:32,51.7,24.8,87.5,31.0
18:08:34,51.7,24.8,86.67,31.0
18:08:36,51.7,24.8,85.83,31.0
18:08:38,51.7,24.9,85.83,31.0
18:08:40,51.7,24.8,86.67,31.0
18:08:42,51.7,24.8,87.5,31.0
18:08:44,51.6,24.8,86.67,31.0
18:08:46,51.6,24.8,86.67,31.0
18:08:48,51.6,24.8,87.5,31.0
18:08:50,51.6,24.8,87.5,31.0
18:08:52,51.6,24.8,87.5,31.0
18:08:54,51.6,24.8,86.67,31.0
18:08:56,51.6,24.8,87.5,31.0
18:08:58,51.5,24.8,87.5,31.0
18:09:00,51.6,24.8,87.5,31.0
18:09:02,51.6,24.8,88.33,31.0
18:09:04,51.5,24.8,88.33,31.0
